9/5/2025,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,,TOTAL,,,,
New Installs,"3,027","2,756","2,692","3,486","3,291","3,179","3,287","3,894","3,367","2,778","4,964","3,799","5,523","4,191","4,116","3,622","3,284","5,229","3,982","4,515","3,832","3,766","3,520","2,966","4,191","3,565","4,150","4,129","3,693","3,187","3,093",,"115,074",,,,
Sign up,"2,643","2,365","2,151","2,962","2,909","2,654","2,754","3,221","2,746","2,463","4,171","3,225","4,825","3,684","3,447","3,044","2,556","4,130","3,298","3,904","3,310","3,191","3,017","2,520","3,682","3,168","3,595","3,335","3,204","2,775","2,585",,"97,534",,,,
KYC Completed,"1,536","1,193","1,150","1,577","1,875","1,620","1,592","1,804","1,425","1,193","2,226","2,056","2,632","2,115","1,990","1,656","1,404","2,175","2,021","2,291","2,044","1,780","1,430","1,225","1,808","1,624","2,014","1,883","1,812","1,471","1,283",,"53,905",,,,
FS_ELIGIBLE,679,571,513,793,797,672,635,876,723,599,1092,954,1309,1080,1044,920,798,1337,1019,1218,983,904,813,605,959,877,990,918,845,743,672,,"26,938",L0 Target Aug25,,Projection Disb.,L0 vs Target
Survey Submitted (Biz),71,46,41,68,81,66,63,82,54,64,100,94,146,145,106,86,73,113,94,122,110,103,86,59,94,91,90,96,102,86,69,,"2,701",Personal,"20,147","24,417",136.83%
Doc Submitted (Biz),88,38,44,77,65,68,57,70,46,50,79,99,120,136,92,88,77,100,81,106,129,106,84,59,88,79,87,92,92,74,72,,"2,543",FidoBiz (BL0) - New,"1,000",415,
First Disbursement Personal,628,574,503,772,784,669,725,953,792,660,1029,984,1308,1109,1123,957,614,1012,1280,1259,904,959,1098,722,1019,947,964,876,863,798,683,,"27,568",FidoBiz (BL0) - New Partnership,352,74,
First Disb.FidoBiz New,13,11,10,10,15,12,11,19,8,9,10,22,21,20,15,15,8,28,24,15,20,16,14,7,18,19,17,13,19,15,15,,469,FidoBiz (ML0) - Migrated New,648,836,
First Disb. Biz New Partnerships,1,1,1,6,0,2,2,2,3,4,2,7,6,7,2,1,0,4,5,6,1,2,3,0,2,2,3,2,3,1,2,,83,FidoBiz (ML0) - Migrated Old,"1,767","1,123",
First Disb. FidoBiz Migrated New,55,19,15,19,23,31,32,36,14,13,25,16,30,38,71,23,13,36,27,30,26,66,34,15,32,22,30,41,53,16,9,,910,,,,
