8/4/2025,July 1,July 2,July 3,July 4,July 5,July 6,July 7,July 8,July 9,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,,TOTAL,,,,
New Installs,"3,306","3,346","3,028","2,890","2,789","2,350","2,759","2,666","2,649","3,159","2,683","2,608","2,436","3,054","4,271","5,015","4,085","3,720","3,480","2,818","3,687","4,359","3,757","4,207","3,422","2,687","2,467","4,404","3,863","4,018","3,763",,"103,746","146,188",,,
Sign up,"2,707","2,774","2,497","2,387","2,201","1,962","2,384","2,325","2,368","2,702","2,584","2,288","2,158","2,676","3,847","4,640","3,679","3,448","3,027","2,419","3,351","3,938","3,433","3,785","3,077","2,442","2,126","3,769","3,357","3,488","3,300",,"91,139",,,,
KYC Completed,"1,408","1,485","1,338","1,219","1,093","1,023","1,181","1,285","1,437","1,477","1,469","1,262","1,167","1,545","1,948","2,307","2,029","1,817","1,569","1,349","1,765","2,444","1,895","2,051","1,611","1,265","1,142","1,863","1,732","1,828","1,813",,"48,817",,,,
FS_ELIGIBLE,565,534,506,441,405,376,464,541,556,663,653,535,498,688,868,1063,1022,911,797,659,923,1056,881,1058,802,642,520,1014,902,888,875,,"22,306",L0 Target July25,,Projection Disb.,L0 vs Target
Survey Submitted (Biz),62,85,66,55,56,36,65,59,70,86,67,50,32,71,80,115,97,83,89,69,92,113,84,134,139,86,58,136,103,111,114,,"2,563",Personal,"19,916","20,899",115.09%
Doc Submitted (Biz),78,65,77,53,52,44,57,53,73,82,90,42,50,79,68,104,106,87,76,63,97,103,85,117,145,87,73,114,105,102,141,,"2,568",FidoBiz (BL0) - New,900,351,
First Disbursement Personal,561,596,591,507,436,447,712,702,732,818,796,637,572,775,869,978,996,848,705,611,1229,952,859,949,778,611,534,827,789,765,740,,"22,922",FidoBiz (BL0) - New Partnership,272,77,
First Disb.FidoBiz New,15,10,7,19,8,4,10,6,12,15,10,5,13,13,12,16,10,9,13,9,20,10,15,21,20,9,10,17,16,18,13,,385,FidoBiz (ML0) - Migrated New,628,986,
First Disb. Biz New Partnerships,2,2,1,0,1,0,0,6,4,5,2,2,1,3,3,2,3,2,0,1,2,9,5,2,5,1,2,10,2,3,3,,84,FidoBiz (ML0) - Migrated Old,"1,714","1,186",
First Disb. FidoBiz Migrated New,34,25,42,52,12,12,24,23,36,35,48,20,12,33,23,36,40,60,16,15,46,44,34,41,74,30,19,51,34,31,33,,"1,035",,,,
First Disb. Biz Migrated New Partners,1,2,1,0,0,1,1,0,1,3,0,0,1,1,2,3,1,2,1,0,4,2,0,1,2,1,2,5,4,2,2,,46,,,,
First Disb. FidoBiz Migrated Old,62,71,42,44,20,15,46,26,30,28,41,28,21,42,42,35,44,34,21,27,37,26,33,44,53,40,31,71,45,77,67,,"1,243",Projection Budget VS Monthly Budget,,,
First Disb. Biz Migrated Old Partners,4,4,4,4,1,0,1,1,1,1,1,1,1,2,1,0,2,1,1,1,1,2,1,4,2,0,3,3,4,4,2,,58,"$100,536","$107,136",,
First Disbursement All New,578,608,599,526,445,451,722,714,748,838,808,644,586,791,884,996,"1,009",859,718,621,"1,251",971,879,972,803,621,546,854,807,786,756,,"23,391",,,,
