7/13/2025,June 1,June 2,June 3,June 4,June 5,June 6,June 7,June 8,June 9,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,,TOTAL,,,,
New Installs,"2,818","3,287","4,040","3,667","4,207","3,233","3,137","2,907","3,314","4,257","3,520","4,098","3,679","3,689","3,080","3,540","4,283","3,659","4,135","3,419","3,195","2,775","3,730","3,934","3,596","4,063","4,155","3,181","3,041","3,947",,"107,586",,,,
Sign up,"2,148","2,691","3,365","3,060","3,385","2,349","2,760","2,385","2,905","3,540","3,191","3,572","3,109","2,912","2,469","2,970","3,577","3,244","3,512","2,890","2,766","2,243","3,245","3,523","3,224","3,507","3,757","2,759","2,456","3,372",,"90,886",,,,
KYC Completed,"1,100","1,436","1,742","1,543","1,747","1,265","1,414","1,194","1,472","1,865","1,631","1,858","1,670","1,450","1,280","1,629","1,859","1,760","1,947","1,668","1,454","1,156","1,610","1,734","1,620","1,740","1,824","1,402","1,263","1,727",,"47,060",,,,
FS_ELIGIBLE,705,925,1097,964,1098,795,871,743,904,1175,1042,1166,1032,885,685,914,988,949,1064,899,777,632,875,962,908,916,931,700,632,713,,"26,947",L0 Target May25,,Projection Disb.,L0 vs Target
Survey Submitted (Biz),124,182,194,193,242,178,173,86,127,136,113,129,124,101,79,148,153,152,159,146,111,91,134,163,166,166,160,126,94,146,,"4,296",Personal,"19,685","25,380",128.93%
Doc Submitted (Biz),54,72,77,91,107,74,75,60,109,125,104,99,91,80,61,124,113,140,125,149,117,80,107,144,140,143,151,88,91,136,,"3,127",FidoBiz (BL0) - New,900,337,
First Disbursement Personal,639,884,959,863,966,765,814,703,860,1048,1002,1037,985,925,605,947,939,928,936,902,783,619,765,949,887,855,894,698,594,629,,"25,380",FidoBiz (BL0) - New Partnership,291,118,
First Disb.FidoBiz New,2,13,12,10,14,9,7,6,11,7,15,12,6,11,8,9,11,12,18,11,11,4,10,15,15,13,21,12,15,17,,337,FidoBiz (ML0) - Migrated New,609,915,
First Disb. Biz New Partnerships,5,3,4,2,5,3,3,1,2,3,2,4,4,5,3,7,5,5,6,2,4,4,5,8,5,5,5,3,1,4,,118,FidoBiz (ML0) - Migrated Old,"1,661","1,236",
First Disb. FidoBiz Migrated New,14,19,21,24,40,57,13,13,24,27,41,27,71,17,11,43,29,25,20,62,20,13,24,26,24,34,54,18,11,32,,854,,,,
First Disb. Biz Migrated New Partners,1,4,4,7,4,4,2,1,1,4,3,1,2,2,0,1,1,2,3,0,0,2,3,1,3,3,0,0,1,1,,61,,,,
First Disb. FidoBiz Migrated Old,37,55,47,37,50,26,29,13,36,29,29,25,36,23,19,33,26,29,29,31,22,13,38,41,48,67,91,56,41,90,,"1,146",Projection Budget VS Monthly Budget,,,
First Disb. Biz Migrated Old Partners,2,7,4,11,2,2,1,4,5,2,5,1,1,3,2,2,4,4,4,1,2,3,2,1,1,2,3,3,3,3,,90,"$113,517","$105,943",,
First Disbursement All New,646,900,975,875,985,777,824,710,873,"1,058","1,019","1,053",995,941,616,963,955,945,960,915,798,627,780,972,907,873,920,713,610,650,,"25,835",,,,
Cost Growth,"$2,982","$3,354","$3,301","$3,336","$3,301","$3,174","$3,082","$3,122","$3,162","$3,307","$3,242","$3,245","$3,344","$3,212","$3,199","$3,459","$3,436","$3,426","$3,414","$3,284","$3,124","$3,022","$3,594","$3,463","$3,367","$3,434","$3,154","$3,090","$3,114","$2,881",,"$97,626",,,,
Cost Marketing ,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,,"$15,891",,,,
CAC,$5.44,$4.32,$3.93,$4.42,$3.89,$4.77,$4.38,$5.14,$4.23,$3.63,$3.70,$3.58,$3.89,$3.98,$6.05,$4.14,$4.15,$4.19,$4.11,$4.17,$4.58,$5.66,$5.29,$4.11,$4.30,$4.54,$4.00,$5.08,$5.97,$5.25,,$4.39,,,,
CPI,$1.25,$1.18,$0.95,$1.05,$0.91,$1.15,$1.15,$1.26,$1.11,$0.90,$1.07,$0.92,$1.05,$1.01,$1.21,$1.13,$0.93,$1.08,$0.95,$1.12,$1.14,$1.28,$1.11,$1.02,$1.08,$0.98,$0.89,$1.14,$1.20,$0.86,,$1.06,,,,
CPL,$1.64,$1.44,$1.14,$1.26,$1.13,$1.58,$1.31,$1.53,$1.27,$1.08,$1.18,$1.06,$1.25,$1.28,$1.51,$1.34,$1.11,$1.22,$1.12,$1.32,$1.32,$1.58,$1.27,$1.13,$1.21,$1.13,$0.98,$1.31,$1.48,$1.01,,$1.25,,,,
CPKYC,$3.19,$2.70,$2.20,$2.50,$2.19,$2.93,$2.55,$3.06,$2.51,$2.06,$2.31,$2.03,$2.32,$2.58,$2.91,$2.45,$2.13,$2.25,$2.03,$2.29,$2.51,$3.07,$2.56,$2.30,$2.41,$2.28,$2.02,$2.58,$2.88,$1.98,,$2.41,,,,
Installs/SignUp,76%,82%,83%,83%,80%,73%,88%,82%,88%,83%,91%,87%,85%,79%,80%,84%,84%,89%,85%,85%,87%,81%,87%,90%,90%,86%,90%,87%,81%,85%,,84%,,,,
Sign Up/KYC completed,51%,53%,52%,50%,52%,54%,51%,50%,51%,53%,51%,52%,54%,50%,52%,55%,52%,54%,55%,58%,53%,52%,50%,49%,50%,50%,49%,51%,51%,51%,,52%,,,,
KYC/First Disb.,59%,63%,56%,57%,56%,61%,58%,59%,59%,57%,62%,57%,60%,65%,48%,59%,51%,54%,49%,55%,55%,54%,48%,56%,56%,50%,50%,51%,48%,38%,,55%,,,,
FS/First Disb.,92%,97%,89%,91%,90%,98%,95%,96%,97%,90%,98%,90%,96%,106%,90%,105%,97%,100%,90%,102%,103%,99%,89%,101%,100%,95%,99%,102%,97%,91%,,96%,,,,
Survey/Docs (Biz),44%,40%,40%,47%,44%,42%,43%,70%,86%,92%,92%,77%,73%,79%,77%,84%,74%,92%,79%,102%,105%,88%,80%,88%,84%,86%,94%,70%,97%,93%,,73%,,,,
New install/ First dis,23%,27%,24%,24%,23%,24%,26%,24%,26%,25%,29%,26%,27%,26%,20%,27%,22%,26%,23%,27%,25%,23%,21%,25%,25%,21%,22%,22%,20%,16%,,24%,,,,
SignUp/First dis.,30%,33%,29%,29%,29%,33%,30%,30%,30%,30%,32%,29%,32%,32%,25%,32%,27%,29%,27%,32%,29%,28%,24%,28%,28%,25%,24%,26%,25%,19%,,28%,,,,
Issues,,,,,,,,,,,,,,,Decreased AR to 53%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,16.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,163","$2,220","$2,220","$2,198","$2,211","$2,179","$2,194","$2,196","$2,198","$2,249","$2,220","$2,223","$2,178","$2,200","$2,178","$2,188","$2,237","$2,226","$2,233","$2,219","$2,259","$2,233","$2,298","$2,253","$2,190","$2,259","$2,167","$2,137","$2,046","$1,900",,"$65,872",,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Facebook,$440,$579,$585,$592,$553,$484,$450,$488,$469,$530,$558,$597,$622,$549,$618,$747,$672,$595,$572,$510,$427,$460,$642,$607,$539,$556,$569,$557,$622,$562,,"$16,750",,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Apple Search Ads,$119,$118,$103,$101,$105,$93,$66,$77,$98,$105,$99,$92,$117,$75,$81,$85,$86,$102,$77,$78,$70,$69,$80,$103,$87,$74,$0,$23,$54,$76,,"$2,513",,,,
Remarketing SMS,$0,$115,$53,$112,$116,$63,$40,$29,$74,$162,$105,$46,$121,$71,$0,$109,$110,$188,$272,$217,$109,$0,$184,$52,$52,$285,$0,$113,$66,$83,,"$2,945",,,,
Unapplied Leads,$0,$62,$70,$72,$55,$94,$73,$72,$60,$0,$0,$26,$46,$56,$62,$70,$72,$55,$0,$0,$0,$0,$129,$188,$239,$0,$157,$0,$66,$0,,"$1,725",,,,
CleverTap SMS Africa Talking,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
CleverTap MJ Infobip,$0,$0,$9,$0,$0,$0,$0,$0,$3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$12,,,,
Kochava,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,,$917,,,,
MTN,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,,$389,,,,
Africa Talking,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,$78,,"$2,327",,,,
MTN Blast SMS,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,$93,,"$2,805",,,,
Referal payments,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,$46,,"$1,371","97,626",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,$530,,"$15,891",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$0.00,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"15,891",$0.00,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer - Delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Field Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Ambassadors + Referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social Campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production and Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
FIdoBiz Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$65,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$16,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,"$2,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$2,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$2,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$92,825.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
