7/13/2025,March 1,March 2,March 3,March 4,March 5,March 6,March 7,March 8,March 9,March 10,March 11,March 12,March 13,March 14,March 15,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,,TOTAL,,,,,,,,
New Installs,"2,916","2,641","3,432","3,353","3,679","3,042","2,775","2,734","2,546","3,466","2,895","3,129","2,724","2,505","2,386","2,203","3,043","2,627","3,009","2,604","2,438","2,345","2,227","3,083","2,769","3,200","3,230","2,935","2,437","1,784","2,813",,"86,970",,,,,,,,
Sign up,"1,991","1,827","2,555","2,524","2,982","2,220","2,205","2,045","2,011","2,838","2,376","2,559","2,154","2,006","1,853","1,709","2,610","2,313","2,607","2,284","1,994","1,787","1,714","2,481","2,293","2,661","2,621","2,431","1,970","1,766","2,508",,"69,895",,,,,,58891.38889,,
KYC Completed,"1,021",889,"1,158","1,165","1,351","1,171","1,145","1,002",887,969,"1,351","1,218","1,084","1,050",910,882,"1,337","1,169","1,187","1,124","1,034",947,827,"1,205","1,203","1,256","1,293","1,234",966,909,"1,251",,"34,195",,,,,,,,
FS_ELIGIBLE,557,472,665,641,744,649,659,576,505,568,615,648,623,589,516,482,727,676,647,627,534,508,437,661,613,667,752,708,551,485,370,,"18,472",L0 Target Feb25,,Projection Disb.,L0 vs Target,,,,
Survey Submitted (Biz),143,135,139,57,180,126,121,90,100,125,178,305,290,300,206,202,293,354,280,281,213,205,183,261,277,283,244,252,215,156,259,,"6,453",Personal,"18,992","17,736",93.39%,,,"$1,256.00",
Doc Submitted (Biz),51,48,62,40,63,40,30,34,43,44,66,125,107,116,108,64,103,136,129,135,98,91,81,100,126,112,110,125,107,72,111,,"2,677",FidoBiz (BL0) - New,551,277,,,,,
First Disbursement Personal,510,436,631,585,648,592,591,509,477,537,597,591,610,619,555,456,649,645,655,649,545,508,430,615,568,602,714,701,575,487,449,,"17,736",FidoBiz (BL0) - New Partnership,-,99,,,,,"2,143"
First Disb.FidoBiz New,3,7,9,3,6,3,7,2,3,5,3,7,11,8,14,9,14,18,11,14,14,11,7,8,14,9,14,19,10,8,6,,277,FidoBiz (ML0) - Migrated New,549,838,,,1.3%,,
First Disb. Biz New Partnerships,3,3,2,5,3,4,5,2,0,1,6,2,7,8,3,5,2,6,4,2,3,0,3,5,4,2,2,1,0,1,5,,99,FidoBiz (ML0) - Migrated Old,"1,492","1,418",,,6.60%,,
First Disb. FidoBiz Migrated New,21,10,18,16,28,11,30,5,9,9,8,17,23,51,22,8,24,24,31,42,49,14,7,22,32,39,32,45,18,9,21,,695,,,,,,,,
First Disb. Biz Migrated New Partners,1,7,5,5,18,3,8,4,2,5,7,5,9,9,2,5,3,1,3,4,5,2,5,4,4,1,7,4,3,1,1,,143,,,,,,9.2%,,
First Disb. FidoBiz Migrated Old,56,30,53,57,53,28,21,15,10,21,18,19,14,24,13,18,30,27,43,29,51,30,40,51,45,68,66,98,61,32,50,,"1,171",Projection Budget VS Monthly Budget,,,,,23.35%,,
First Disb. Biz Migrated Old Partners,2,0,4,4,6,14,13,5,3,8,6,6,5,4,1,4,7,6,9,2,12,6,7,10,15,20,19,18,13,7,11,,247,"$101,478","$99,915",,,,,,
First Disbursement All New,516,446,642,593,657,599,603,513,480,543,606,600,628,635,572,470,665,669,670,665,562,519,440,628,586,613,730,721,585,496,460,,"18,112",,,,,,,,
Cost Digital,"$3,542","$3,467","$3,829","$3,605","$3,759","$3,752","$3,411","$3,229","$3,321","$3,371","$3,265","$3,147","$3,059","$3,151","$3,012","$2,990","$3,130","$3,038","$2,974","$3,026","$3,007","$2,857","$2,820","$2,905","$2,749","$2,818","$2,783","$2,717","$2,533","$2,476","$2,491",,"$96,231",,,,,,,,
Cost offline ,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169,$169.25,$169.25,,"$5,247",,,,Budget cost,"$128,251",,,
CAC,$7.19,$8.15,$6.23,$6.36,$5.98,$6.55,$5.94,$6.62,$7.27,$6.52,$5.67,$5.53,$5.14,$5.23,$5.56,$6.72,$4.96,$4.79,$4.69,$4.80,$5.65,$5.83,$6.79,$4.90,$4.98,$4.87,$4.04,$4.00,$4.62,$5.33,$5.78,,$5.60,"19,149.20",,,Total,"$101,478",,,
CPI,$1.27,$1.38,$1.16,$1.13,$1.07,$1.29,$1.29,$1.24,$1.37,$1.02,$1.19,$1.06,$1.19,$1.33,$1.33,$1.43,$1.08,$1.22,$1.04,$1.23,$1.30,$1.29,$1.34,$1.00,$1.05,$0.93,$0.91,$0.98,$1.11,$1.48,$0.95,,$1.17,,,,GH,,,,
CPL,$1.86,$1.99,$1.56,$1.50,$1.32,$1.77,$1.62,$1.66,$1.74,$1.25,$1.45,$1.30,$1.50,$1.66,$1.72,$1.85,$1.26,$1.39,$1.21,$1.40,$1.59,$1.69,$1.74,$1.24,$1.27,$1.12,$1.13,$1.19,$1.37,$1.50,$1.06,,$1.45,,,,Paid,"$96,231",,,
CPKYC,$3.64,$4.09,$3.45,$3.24,$2.91,$3.35,$3.13,$3.39,$3.93,$3.65,$2.54,$2.72,$2.98,$3.16,$3.50,$3.58,$2.47,$2.74,$2.65,$2.84,$3.07,$3.20,$3.61,$2.55,$2.43,$2.38,$2.28,$2.34,$2.80,$2.91,$2.13,,$2.97,,,,,,,,
Installs/SignUp,68%,69%,74%,75%,81%,73%,79%,75%,79%,82%,82%,82%,79%,80%,78%,78%,86%,88%,87%,88%,82%,76%,77%,80%,83%,83%,81%,83%,81%,99%,89%,,80%,,,,Offline,"$5,247",,,
Sign Up/KYC completed,51%,49%,45%,46%,45%,53%,52%,49%,44%,34%,57%,48%,50%,52%,49%,52%,51%,51%,46%,49%,52%,53%,48%,49%,52%,47%,49%,51%,49%,51%,50%,,49%,18%,,,FidoBiz GH,,,,
KYC/First Disb.,51%,50%,55%,51%,49%,51%,53%,51%,54%,56%,45%,49%,58%,60%,63%,53%,50%,57%,56%,59%,54%,55%,53%,52%,49%,49%,56%,58%,61%,55%,37%,,53%,"$19,149.20",,,UG,,,,
FS/First Disb.,93%,94%,97%,93%,88%,92%,92%,89%,95%,96%,99%,93%,101%,108%,111%,98%,91%,99%,104%,106%,105%,102%,101%,95%,96%,92%,97%,102%,106%,102%,124%,,98%,$5.30,,,Paid,,,,
Survey/Docs (Biz),36%,36%,45%,70%,35%,32%,25%,38%,43%,35%,37%,41%,37%,39%,52%,32%,35%,38%,46%,48%,46%,44%,44%,38%,45%,40%,45%,50%,50%,46%,43%,,41%,"37,101.58",,,Offline,,,,
New install/ First dis,18%,17%,19%,18%,18%,20%,22%,19%,19%,16%,21%,19%,23%,25%,24%,21%,22%,25%,22%,26%,23%,22%,20%,20%,21%,19%,23%,25%,24%,28%,16%,,21%,,,,FidoBiz UG,,,,
SignUp/First dis.,26%,24%,25%,23%,22%,27%,27%,25%,24%,19%,26%,23%,29%,32%,31%,28%,25%,29%,26%,29%,28%,29%,26%,25%,26%,23%,28%,30%,30%,28%,18%,,26%,,,,,,,,
Issues,,,,,,,,,,margins issue,margins issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,736","$2,713","$2,671","$2,500","$2,780","$2,780","$2,350","$2,337","$2,422","$2,388","$2,260","$2,232","$2,076","$2,147","$2,114","$2,123","$2,141","$2,114","$2,090","$2,103","$2,066","$2,053","$2,067","$2,038","$2,035","$2,034","$2,038","$2,003","$1,931","$1,926","$1,795",,"$69,063","85,009",,,,,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,"2,222",,,,,,,
Facebook,$354,$340,$333,$354,$269,$277,$273,$288,$275,$271,$299,$339,$311,$327,$358,$350,$317,$263,$252,$266,$282,$295,$272,$263,$319,$262,$224,$233,$236,$232,$232,,"$8,965","8,965",,,,,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Apple Search Ads,$136,$135,$183,$183,$213,$171,$187,$159,$156,$203,$200,$227,$219,$219,$175,$156,$222,$213,$206,$232,$235,$230,$202,$160,$65,$73,$78,$66,$49,$39,$70,,"$5,062",,,,,,,,
Remarketing SMS,$38,$0,$300,$226,$155,$182,$259,$103,$126,$167,$165,$70,$174,$179,$85,$82,$171,$168,$146,$146,$133,$0,$0,$121,$0,$0,$38,$111,$38,$0,$115,,"$3,497",,$170.92,,,,,,
Unapplied Leads,$0,$0,$63,$63,$63,$63,$63,$63,$63,$63,$63,$0,$0,$0,$0,$0,$0,$0,$0,$0,$13,$0,$0,$44,$50,$170,$126,$25,$0,$0,$0,,$992,,$5.51,,,,,,
CleverTap MJ,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,,$171,,,,,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$917,,,,,,,,
MTN,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,$18,,$572,,$6.64,,,,,,
AT,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
MTN Blast SMS,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,$140,,"$4,334",,,,,,,,
Referal payments,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,$86,,"$2,659","96,231","$42,330.00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,"$2,658.92",,,,,,
Poster,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,$85.77,,,,,,
Billboards,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Radio,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Stickers,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Influencer - Delay,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Field Agents,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Ambassadors + Referrals,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Social Campaigns,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,,$597,,,,,,,,
Video Production and Content,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,"3,237",,,,,,,
PR,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,,$658,,,,,,,,
Partnerships,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,,,,,,,,,,
Impact Report,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,,"$1,605",,,,,,,,
FIdoBiz Box,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,
Events,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,,$377,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,Installs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disb.,CAC,CPI,,,,,,,
Organic,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,
Google Ads,,"$69,063",#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,$0.0,,,,,,,
Twitter-Android,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.0,$0.0,,,,,,,
Facebook,,"$8,965",#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,$0.0,,,,,,,
AppNext - Android,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.0,$0.0,,,,,,,
MNO MTN,,$572,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,$0.7,$0.0,,,,,,,
MNO AT,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,$0.0,$0.0,,,,,,,
MTN SMS,,"$4,334",#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.0,$0.0,,,,,,,
Remarketing SMS,,"$3,497",#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,$0.0,,,,,,,
Unapplied_Leads,,$992,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,$0.0,,,,,,,
CleverTap MJ,,$171,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,$0.0,,,,,,,
TV,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,$0.0,$0.0,,,,,,,
Posters,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,$0.0,$0.0,,,,,,,
Billboard,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,$0.0,$0.0,,,,,,,
Radio,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,$0.0,$0.0,,,,,,,
Stickers,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,$0.0,$0.0,,,,,,,
Delay,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,$0.0,$0.0,,,,,,,
Kuame Eugene,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,$0.0,$0.0,,,,,,,
Ambassadors + Referrals,,$0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.0,$0.0,,,,,,,
Social Campaigns,,$597,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.0,$0.0,,,,,,,
PR,,$658,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.0,$0.0,,,,,,,
Field Agents,,$377,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.0,$0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$89,224.68",#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,$0.00,$0.00,,,,,,,
