Ghana iOS+Android,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,January 16,January 17,January 18,January 19,January 20,January 21,January 22,January 23,January 24,January 25,January 26,January 27,January 28,January 29,January 30,January 31,,TOTAL,,,
New Installs,"1,659","2,258","2,589","2,988","2,705","2,477","2,376","2,392","2,912","3,081","3,672","3,013","2,680","2,513","3,015","2,717","2,865","2,739","2,827","2,615","2,373","2,697","2,732","2,733","3,082","2,748","2,618","2,590","3,356","3,298","3,827",,"86,147",,,
Sign up,"1,459","1,871","2,152","2,601","2,274","1,481","1,635","2,162","2,363","2,578","3,044","2,630","2,259","1,999","2,656","2,409","2,627","2,428","2,343","2,227","2,007","2,317","2,428","2,340","2,761","2,553","2,234","1,898","3,117","2,999","3,441",,"73,293",,,
KYC Completed,750,909,"1,033","1,247","1,101",742,791,"1,033","1,082","1,210","1,365","1,174","1,025",833,"1,188","1,103","1,194","1,065","1,031",965,881,996,"1,030","1,033","1,188","1,085",905,775,"1,245","1,089","1,043",,"32,111",,,
Fido Score submission,286,494,543,606,558,385,377,519,563,664,721,668,507,412,635,626,616,593,591,485,409,575,541,747,745,624,521,447,781,779,800,,"17,818",L0 vs Target,L0 Target Jan24,
First Disbursement,233,375,383,439,450,347,286,385,437,490,515,523,415,331,454,486,480,432,479,394,333,454,407,495,521,493,397,348,600,583,580,,"13,545",101.07%,"13,401",
Cost Digital,"$1,001.91","$1,199.23","$1,352.59","$1,558.67","$1,646.31","$1,629.56","$1,532.98","$1,346.11","$1,754.90","$1,948.98","$2,014.33","$1,818.89","$1,578.14","$1,559.39","$1,581.62","$1,819.54","$1,826.82","$1,797.45","$1,758.90","$1,819.93","$1,759.24","$1,742.31","$1,809.27","$1,905.39","$1,932.16","$1,806.73","$1,779.70","$1,744.83","$1,849.66","$1,850.92","$1,839.93",,"$52,566",,,
Cost offline + MNO,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,$805.31,,"$24,965",,,"$225,840"
CAC,$4.76,$3.48,$3.81,$3.79,$3.90,$5.00,$5.73,$3.77,$4.26,$4.20,$4.12,$3.68,$4.06,$5.03,$3.72,$3.96,$4.03,$4.41,$3.89,$4.89,$5.60,$4.07,$4.71,$4.07,$3.91,$3.88,$4.75,$5.32,$3.26,$3.36,$3.36,,$4.13,,,
CAC incl. Branding,$7.76,$5.35,$5.63,$5.38,$5.45,$7.02,$8.18,$5.59,$5.86,$5.62,$5.48,$5.02,$5.74,$7.14,$5.26,$5.40,$5.48,$6.02,$5.35,$6.66,$7.70,$5.61,$6.42,$5.48,$5.25,$5.30,$6.51,$7.33,$4.42,$4.56,$4.56,,$5.72,,,
CPI,$1.09,$0.89,$0.83,$0.79,$0.91,$0.98,$0.98,$0.90,$0.88,$0.89,$0.77,$0.87,$0.89,$0.94,$0.79,$0.97,$0.92,$0.95,$0.91,$1.00,$1.08,$0.94,$0.96,$0.99,$0.89,$0.95,$0.99,$0.98,$0.79,$0.81,$0.69,,$0.90,,,
CPL,$1.24,$1.07,$1.00,$0.91,$1.08,$1.64,$1.43,$1.00,$1.08,$1.07,$0.93,$1.00,$1.06,$1.18,$0.90,$1.09,$1.00,$1.07,$1.09,$1.18,$1.28,$1.10,$1.08,$1.16,$0.99,$1.02,$1.16,$1.34,$0.85,$0.89,$0.77,,$1.06,,,
CPKYC,$2.41,$2.21,$2.09,$1.90,$2.23,$3.28,$2.96,$2.08,$2.37,$2.28,$2.07,$2.24,$2.33,$2.84,$2.01,$2.38,$2.20,$2.44,$2.49,$2.72,$2.91,$2.56,$2.54,$2.62,$2.30,$2.41,$2.86,$3.29,$2.13,$2.44,$2.54,,$2.41,,,
Installs/SignUp,88%,83%,83%,87%,84%,60%,69%,90%,81%,84%,83%,87%,84%,80%,88%,89%,92%,89%,83%,85%,85%,86%,89%,86%,90%,93%,85%,73%,93%,91%,90%,,85%,,,
Sign Up/KYC completed,51%,49%,48%,48%,48%,50%,48%,48%,46%,47%,45%,45%,45%,42%,45%,46%,45%,44%,44%,43%,44%,43%,42%,44%,43%,42%,41%,41%,40%,36%,30%,,44%,,,
KYC/First Disb.,31%,41%,37%,35%,41%,47%,36%,37%,40%,40%,38%,45%,40%,40%,38%,44%,40%,41%,46%,41%,38%,46%,40%,48%,44%,45%,44%,45%,48%,54%,56%,,42%,,,
FS/First Disb.,81%,76%,71%,72%,81%,90%,76%,74%,78%,74%,71%,78%,82%,80%,71%,78%,78%,73%,81%,81%,81%,79%,75%,66%,70%,79%,76%,78%,77%,75%,73%,,76%,,,
New install/ First dis,14%,17%,15%,15%,17%,14%,12%,16%,15%,16%,14%,17%,15%,13%,15%,18%,17%,16%,17%,15%,14%,17%,15%,18%,17%,18%,15%,13%,18%,18%,15%,,16%,,,
SignUp/First dis.,16%,20%,18%,17%,20%,23%,17%,18%,18%,19%,17%,20%,18%,17%,17%,20%,18%,18%,20%,18%,17%,20%,17%,21%,19%,19%,18%,18%,19%,19%,17%,,18%,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,$604,$764,$823,"$1,035","$1,156","$1,078","$1,042","$1,074","$1,142","$1,156","$1,188","$1,094","$1,080","$1,092","$1,094","$1,079","$1,086","$1,069","$1,035","$1,092","$1,060","$1,020","$1,085","$1,059","$1,047","$1,035","$1,019","$1,014",$994,$974,$914,,"$32,004",,,
Twitter,$183,$169,$148,$151,$150,$195,$168,$19,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,"$1,183",,,
Facebook,$149,$193,$194,$194,$161,$165,$158,$162,$161,$165,$167,$168,$174,$159,$162,$163,$166,$165,$167,$173,$159,$164,$163,$165,$166,$166,$171,$160,$163,$164,$166,,"$5,173",,,
Appnext,$22,$29,$53,$45,$46,$57,$31,$47,$48,$48,$79,$57,$50,$45,$62,$56,$73,$62,$56,$55,$39,$58,$62,$63,$63,$78,$55,$54,$87,$101,$152,,"$1,833",,,
MTN,$0,$0,$0,$0,$0,$0,$0,$0,$0,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,,"$2,553",,,
AT,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,$44,,"$1,364",7,,
MTN Blast SMS,$0,$0,$0,$0,$0,$0,$0,$0,$0,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,$99,,"$2,182",`,,
Remarketing SMS,$0,$0,$0,$0,$0,$0,$0,$0,$90,$85,$85,$85,$0,$0,$0,$80,$60,$60,$60,$50,$50,$50,$50,$90,$90,$50,$50,$50,$144,$150,$150,,"$1,579","1,579",0,
Unapplied Leads,$0,$0,$90,$90,$90,$90,$90,$0,$270,$236,$236,$145,$0,$0,$0,$180,$180,$180,$180,$190,$190,$190,$190,$203,$206,$206,$206,$195,$190,$190,$190,,"$4,403","4,403",0,
CleverTap MJ,,,,,,,,,,,$0,$10,$15,$5,$5,$3,$2,$2,$1,$1,$2,$1,$0,$65,$101,$12,$19,$13,$13,$13,$9,3.005454545,$295,,,
Appsflyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"52,569",,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,
Poster,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,$48,,"$1,488",,,
Billboards,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,$221,,"$6,866",,,
Radio,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,$186,,"$5,758",,,
Stickers,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,$79,,"$2,447",,,
Influencer,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,$74,,"$2,303",,,
Ambassadors + Referrals,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,,"$1,008",,,
Social Campaigns,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,$98,,"$3,023",,,
PR,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,$11,,$345,,,
Youtube Production,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,$56,,"$1,727",,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"24,965",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - repayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,
Facebook - Over 400+ and FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - momo agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,
Google - momo agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,Installs,Disb.,CPI,CAC,Install to L09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,"14,845","6,207",,,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$32,004","58,828","5,268",$0.5,$6.1,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,"$1,183",66,10,$17.9,$118.3,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$5,173","3,616",225,$1.4,$23.0,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,"$1,833","3,977",361,$0.0,$5.1,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$1,579","1,136",129,$1.4,$12.2,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied Leads,,"$4,403","2,188",144,$2.0,$30.6,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$295,100,46,$3.0,$6.4,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,0,1,$0.0,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,"$1,497",1,10,"$1,497.0",$149.7,1000%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboards,,"$6,866",25,71,$274.6,$96.7,284%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,"$2,553",720,644,$3.5,$4.0,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,"$1,364",0,160,$0.0,$8.5,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$2,182",318,,$6.9,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,"$5,758",1,55,"$5,757.6",$104.7,5500%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,"$2,447",7,91,$349.6,$26.9,1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,"$2,303",319,123,$7.2,$18.7,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,"$1,008",0,0,$0.0,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,"$3,023",0,0,$0.0,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$345,0,0,$0.0,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youtube Production,,"$1,727",0,0,$0.0,$0.0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
