3/27/2025,February 1,February 2,February 3,February 4,February 5,February 6,February 7,February 8,February 9,February 10,February 11,February 12,February 13,February 14,February 15,February 16,February 17,February 18,February 19,February 20,February 21,February 22,February 23,February 24,February 25,February 26,February 27,February 28,,TOTAL,,,,,,,,,,,,,,,,,,,July 9
New Installs,"2,637","2,489","3,060","3,074","3,522","3,434","3,845","2,683","2,374","3,319","3,019","3,475","3,206","3,046","2,636","2,416","3,159","3,310","3,420","3,351","3,049","2,622","2,227","3,415","3,188","3,728","3,936","3,462",,"87,102",,,,,,,,,,,,,,,,,,,
Sign up,"2,005","1,739","2,167","2,231","2,398","2,479","2,888","2,038","1,744","2,548","2,310","2,630","2,539","2,330","1,865","1,753","2,388","2,512","2,768","2,644","2,208","1,952","1,677","2,546","2,213","2,869","3,037","2,428",,"64,906",58.61%,670.04,,,,53335.5,,,,,,,,,,,,,
KYC Completed,925,798,"1,062","1,119","1,158","1,142","1,201",985,851,"1,162","1,138","1,227","1,204","1,151",879,865,"1,136","1,151","1,287","1,318","1,171",989,818,"1,189","1,183","1,242","1,427","1,191",,"30,969",,,,,,,,,,,,,,,,,,,
FS_ELIGIBLE,552,482,665,651,695,701,695,583,472,584,761,778,752,687,523,473,748,747,728,762,670,544,423,693,664,685,780,653,,"18,151",L0 Target Feb25,,Projection Disb.,L0 vs Target,,,,,,,,,,,,,,,
Survey Submitted (Biz),174,132,188,206,257,265,249,183,181,213,271,375,286,257,219,170,302,304,288,297,310,215,187,281,275,284,303,285,,"6,957",Personal,"18,761","8,838",90.85%,,,,,,,,,,,,,,,
Doc Submitted (Biz),43,30,54,69,63,69,67,49,40,71,77,91,74,83,69,45,83,88,106,102,100,71,61,109,131,108,118,114,,"2,185",FidoBiz (BL0) - New,395,115,,,,,,,,,,,,,,,,
First Disbursement Personal,524,466,617,619,676,628,673,555,454,606,695,710,720,679,538,483,665,677,636,667,582,640,415,601,622,643,675,578,,"17,044",FidoBiz (BL0) - New Partnership,-,31,,,,,,,,,,,,,,,,
First Disb.FidoBiz New,3,3,17,12,4,5,5,8,0,9,6,14,5,11,6,4,11,10,9,16,6,6,2,7,5,12,14,12,,222,FidoBiz (ML0) - Migrated New,505,264,,,,,,,,,,,,,,,,
First Disb. Biz New Partnerships,2,0,0,3,2,2,1,1,1,4,1,3,4,1,0,1,4,1,1,4,2,0,2,0,3,6,6,5,,60,FidoBiz (ML0) - Migrated Old,"1,378",446,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated New,4,15,12,19,15,16,24,8,6,14,5,11,17,34,5,4,16,19,19,18,29,19,5,27,19,22,26,39,,467,,,,,,,,,,,,,,,,,,,
First Disb. Biz Migrated New Partners,1,1,4,3,0,1,1,1,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,2,4,5,4,6,,43,,,,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated Old,20,11,41,22,18,29,25,15,7,17,23,22,22,23,12,9,19,18,33,18,33,45,23,54,54,53,65,76,,807,Projection Budget VS Monthly Budget,,,,,,,,,,,,,,,,,,
First Disb. Biz Migrated Old Partners,0,2,5,4,1,4,0,1,1,0,3,1,2,2,0,1,1,1,1,0,0,2,2,4,3,6,2,4,,53,"$101,366","$97,850",,,,,,,,,,,,,,,,,
First Disbursement All New,529,469,634,634,682,635,679,564,455,619,702,727,729,691,544,488,680,688,646,687,590,646,419,608,630,661,695,595,,"17,326","120,185",,,,,,,,,,,,,,,,,,
Cost Digital,"$2,930","$2,937","$3,402","$3,601","$3,856","$3,940","$4,184","$3,674","$3,007","$3,269","$3,338","$3,671","$3,507","$3,371","$3,310","$3,171","$3,516","$3,377","$3,299","$3,603","$3,629","$3,489","$2,706","$3,147","$3,549","$3,982","$3,928","$3,971",,"$97,365",,,,,,,,,,,,,,,,,,,
Cost offline ,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,$143,,"$4,001","1,548.45",,,Budget cost,"$128,251",,,,,,,,,,,,,,
CAC,$5.81,$6.57,$5.59,$5.90,$5.86,$6.43,$6.37,$6.77,$6.92,$5.51,$4.96,$5.25,$5.01,$5.09,$6.35,$6.79,$5.38,$5.12,$5.33,$5.45,$6.39,$5.62,$6.80,$5.41,$5.86,$6.24,$5.86,$6.91,,$5.85,"18,592.45",,,Total,"$101,366",,,,,,,,,,,,,,
CPI,$1.17,$1.24,$1.16,$1.22,$1.14,$1.19,$1.13,$1.42,$1.33,$1.03,$1.15,$1.10,$1.14,$1.15,$1.31,$1.37,$1.16,$1.06,$1.01,$1.12,$1.24,$1.38,$1.28,$0.96,$1.16,$1.11,$1.03,$1.19,,$1.16,5.45,,,GH,,,,,,,,,,,,,,,
CPL,$1.53,$1.77,$1.64,$1.68,$1.67,$1.65,$1.50,$1.87,$1.81,$1.34,$1.51,$1.45,$1.44,$1.51,$1.85,$1.89,$1.53,$1.40,$1.24,$1.42,$1.71,$1.86,$1.70,$1.29,$1.67,$1.44,$1.34,$1.69,,$1.56,"103,366",,"$101,366",Paid,"$97,365",,,,,,,,,,,,,,
CPKYC,$3.32,$3.86,$3.34,$3.35,$3.45,$3.58,$3.60,$3.88,$3.70,$2.94,$3.06,$3.11,$3.03,$3.05,$3.93,$3.83,$3.22,$3.06,$2.67,$2.84,$3.22,$3.67,$3.48,$2.77,$3.12,$3.32,$2.85,$3.45,,$3.27,5.97,,$5.85,,,,,,,,,,,,,,,,
Installs/SignUp,76%,70%,71%,73%,68%,72%,75%,76%,73%,77%,77%,76%,79%,76%,71%,73%,76%,76%,81%,79%,72%,74%,75%,75%,69%,77%,77%,70%,,75%,,,,Offline,"$4,001",,,,,,,,,,,,,,
Sign Up/KYC completed,46%,46%,49%,50%,48%,46%,42%,48%,49%,46%,49%,47%,47%,49%,47%,49%,48%,46%,46%,50%,53%,51%,49%,47%,53%,43%,47%,49%,,48%,,,,FidoBiz GH,,,,,,,,,,,,,,,
KYC/First Disb.,57%,59%,60%,57%,59%,56%,57%,57%,53%,53%,62%,59%,61%,60%,62%,56%,60%,60%,50%,52%,50%,65%,51%,51%,53%,53%,49%,50%,,56%,"$101,366.46",,,UG,,,,,,,,,,,,,,,
FS/First Disb.,96%,97%,95%,97%,98%,91%,98%,97%,96%,106%,92%,93%,97%,101%,104%,103%,91%,92%,89%,90%,88%,119%,99%,88%,95%,96%,89%,91%,,95%,,,,Paid,,,,,,,,,,,,,,,
Survey/Docs (Biz),25%,23%,29%,33%,25%,26%,27%,27%,22%,33%,28%,24%,26%,32%,32%,26%,27%,29%,37%,34%,32%,33%,33%,39%,48%,38%,39%,40%,,31%,,,,Offline,,,,,,,,,,,,,,,
New install/ First dis,20%,19%,21%,21%,19%,18%,18%,21%,19%,19%,23%,21%,23%,23%,21%,20%,22%,21%,19%,21%,19%,25%,19%,18%,20%,18%,18%,17%,,20%,,,,FidoBiz UG,,,,,,,,,,,,,,,
SignUp/First dis.,26%,27%,29%,28%,28%,26%,24%,28%,26%,24%,30%,28%,29%,30%,29%,28%,28%,27%,23%,26%,27%,33%,25%,24%,28%,23%,23%,25%,,27%,,,,,,,,,,,,,,,,,,,
Issues,,,,,margins issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,404","$2,357","$2,405","$2,497","$2,561","$2,768","$3,038","$2,712","$2,296","$2,445","$2,350","$2,633","$2,558","$2,463","$2,492","$2,448","$2,491","$2,430","$2,410","$2,697","$2,623","$2,681","$2,035","$2,181","$2,546","$2,888","$2,936","$2,940",,"$71,285","87,231",,,,,,,,,,,,,,,,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,0,,,,,,,,,,,,,,,,,,
Facebook,$195,$251,$367,$379,$518,$463,$500,$471,$316,$333,$377,$389,$388,$352,$344,$349,$360,$396,$371,$338,$330,$345,$329,$293,$297,$321,$360,$360,,"$10,088",,,,,,,,,,,,,,,,,,,
Appnext,$59,$57,$42,$27,$31,$33,$24,$22,$23,$19,$21,$21,$25,$17,$25,$22,$20,$5,$7,$9,$8,$10,$1,$5,$5,$6,$2,$8,,$554,,,,,,,,,,,,,,,,,,,
Apple Search Ads,$64,$64,$100,$182,$271,$225,$142,$146,$139,$145,$154,$147,$140,$139,$150,$144,$144,$128,$122,$144,$133,$130,$133,$135,$135,$216,$191,$133,,"$4,096",,,,,,,,,,,,,,,,,,,
Remarketing SMS,$0,$0,$279,$244,$203,$212,$209,$52,$25,$119,$229,$273,$188,$192,$91,$0,$293,$210,$143,$207,$267,$114,$0,$262,$281,$267,$155,$246,,"$4,760",,,,,,,,,,,,,,,,,,,
Unapplied Leads,$0,$0,$0,$63,$63,$31,$63,$63,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$38,$0,$60,$0,$0,$63,$76,$76,$76,$76,,$751,,,,,,,,,,,,,,,,,,,
CleverTap MJ,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,,$165,,,,,,,,,,,,,,,,,,,
Kochava,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,$33,,$917,,,,,,,,,,,,,,,,,,,
