1/16/2025,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,,TOTAL,,,,,,,,,,,,,,,,,,,July 9
New Installs,"2,227","2,408","2,501","2,374","2,255","2,662","2,669","3,138","3,367","3,535","2,752","2,611","3,054","3,318","3,052",,"41,923",,,,,,,,,,,,,,,,,,,
Sign up,;,"1,872","1,945","1,802","1,685","2,010","1,910","2,516","2,501","2,491","1,916","1,806","2,196","2,302","2,057",,"29,009",,,,,,,,,,,,,,,,,,,
KYC Completed,836,953,982,896,819,"1,045",988,"1,129","1,197","1,167",966,832,"1,045","1,005","1,103",,"14,963",,,,,,,,,,,,,,,,,,,
FS_ELIGIBLE,385,463,486,446,374,523,480,606,588,613,469,422,504,474,519,,"7,352",L0 Target Jan25,,Projection Disb.,L0 vs Target,,,,,,,,,,,,,,,
First Disbursement Personal,384,447,463,462,353,504,478,548,524,556,479,392,480,492,511,,"7,073",Personal,"18,530","14,618",38.17%,,,,,,,,,,,,,,,
First Disb.FidoBiz New,1,8,2,2,1,3,7,10,0,1,4,2,5,3,5,,54,FidoBiz (BL0) - New,338,112,,,,,,,,,,,,,,,,
First Disb. FidoBiz New Partnerships,0,0,1,0,1,0,0,0,0,1,0,1,4,1,1,,10,FidoBiz (BL0) - New Partnership,-,21,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated New,3,6,6,3,4,3,5,3,2,4,1,2,20,18,10,,90,FidoBiz (ML0) - Migrated New,462,186,,,,,,,,,,,,,,,,
First Disb. FidoBiz Migrated Old,8,6,7,5,2,9,5,5,4,6,5,1,27,22,11,,123,FidoBiz (ML0) - Migrated Old,"1,260",254,,,,,,,,,,,,,,,,
Cost Digital,"$2,477","$2,503","$2,603","$2,573","$2,581","$3,008","$2,936","$2,981","$3,260","$3,351","$3,105","$2,803","$3,071","$3,209","$3,159",,"$43,618",,,,,,,,,,,,,,,,,,,
Cost offline ,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,$137,,"$2,060",,,,,,,,,,,,,,,,,,,
CAC,$6.79,$5.80,$5.88,$5.84,$7.66,$6.20,$6.34,$5.59,$6.48,$6.25,$6.71,$7.44,$6.56,$6.75,$6.38,,$6.40,Projection Budget VS Monthly Budget,,,,,,,,,,,,,,,,,,
CPI,$1.17,$1.10,$1.10,$1.14,$1.21,$1.18,$1.15,$0.99,$1.01,$0.99,$1.18,$1.13,$1.05,$1.01,$1.08,,$1.09,"$94,400","$95,940",,,,,,,,,,,,,,,,,
CPL,#VALUE!,$1.41,$1.41,$1.50,$1.61,$1.56,$1.61,$1.24,$1.36,$1.40,$1.69,$1.63,$1.46,$1.45,$1.60,,$1.57,,,,,,,,,,,,,,,,,,,
CPKYC,$3.13,$2.77,$2.79,$3.03,$3.32,$3.01,$3.11,$2.76,$2.84,$2.99,$3.36,$3.53,$3.07,$3.33,$2.99,,$3.05,,,,,,,,,,,,,,,,,,,
Installs/SignUp,#VALUE!,78%,78%,76%,75%,76%,72%,80%,74%,70%,70%,69%,72%,69%,67%,,69%,"32,700",,,Budget cost,"$128,251",,,,,,,,,,,,,,
Sign Up/KYC completed,#VALUE!,51%,50%,50%,49%,52%,52%,45%,48%,47%,50%,46%,48%,44%,54%,,52%,"16,022.97",$6.11,,Total,"$45,677",,,,,,,,,,,,,,
KYC/First Disb.,46%,48%,47%,52%,43%,49%,49%,49%,44%,48%,50%,47%,47%,49%,47%,,48%,"7,691",,,GH,,,,,,,,,,,,,,,
FS/First Disb.,100%,98%,96%,104%,95%,97%,101%,92%,89%,91%,103%,94%,97%,105%,100%,,97%,"17,030",,,Paid,"$43,618",,,,,,,,,,,,,,
New install/ First dis,17%,19%,19%,20%,16%,19%,18%,18%,16%,16%,18%,15%,16%,15%,17%,,17%,"8,804",,,Offline,"$2,060",,,,,,,,,,,,,,
SignUp/First dis.,#VALUE!,24%,24%,26%,21%,25%,25%,22%,21%,22%,25%,22%,22%,22%,25%,,25%,$4.95,8379.28,,FidoBiz GH,,,,,,,,,,,,,,,
Issues,,,,,,,,,,,,,,,,,,19494.195,$5.45,,UG,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Paid,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Offline,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,15.58,,,,,,,,,,,,,,,,,,,FidoBiz UG,,,,,,,,,,,,,,,
Google,"$1,873","$1,893","$2,077","$2,069","$2,156","$2,373","$2,258","$2,330","$2,584","$2,726","$2,630","$2,398","$2,357","$2,429","$2,407",,"$34,560",,,,,,,,,,,,,,,,,,,
Twitter,$0,$0,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,$10,,$130,,,,,,,,,,,,,,,,,,,
Facebook,$341,$315,$217,$219,$243,$302,$277,$263,$285,$268,$257,$217,$275,$328,$333,,"$4,141",,,,,,,,,,,,,,,,,,,
Appnext,$29,$34,$27,$39,$29,$38,$42,$41,$57,$56,$36,$34,$47,$51,$37,,$597,,,,,,,,,,,,,,,,,,,
Remarketing SMS,$51,$66,$77,$64,$0,$77,$141,$128,$116,$71,$28,$0,$173,$183,$164,,"$1,340",,,,,,,,,,,,,,,,,,,
Unapplied Leads,$39,$51,$51,$28,$0,$64,$64,$64,$64,$76,$0,$0,$64,$64,$64,,$694,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$444,,,,,,,,,,,,,,,,,,,
MTN,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,$19,,$283,"43,618",,,,,,,,,,,,,,,,,,
AT,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
MTN Blast SMS,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,,"$1,429",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Poster,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Billboards,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Radio,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Stickers,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Influencer - Delay,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,$73,,"$1,091",,,,,,,,,,,,,,,,,,,
Field Agents,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Social Campaigns,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Video Production and Content,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
PR,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Partnerships,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,
Office Branding,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Outbound,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Referal payments,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,,$969,"2,060",,,,,,,,,,,,,,,,,,
Events,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,Installs,Disb.,CAC,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$34,560",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$130,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$4,141",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$597,#N/A,#N/A,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$283,#N/A,786,$0.4,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,$0,#N/A,158,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$1,429",#N/A,0,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$1,340",#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,$694,#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$0,#N/A,#N/A,#N/A,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,#N/A,1,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,#N/A,3,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,#N/A,24,$0.0,$0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
