5/7/2025,April 1,April 2,April 3,April 4,April 5,April 6,April 7,April 8,April 9,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,,TOTAL,,,,
New Installs,410,461,454,409,451,428,502,532,572,698,579,513,523,553,554,481,578,487,500,424,491,560,601,510,470,474,545,590,529,559,,"15,438",666,,,
Sign up,419,476,453,492,436,425,498,537,554,637,622,494,326,612,599,571,526,529,533,443,498,540,579,574,502,515,509,596,588,623,,"15,706",,,,
KYC Completed,195,226,226,246,205,184,225,250,270,282,321,249,172,310,290,298,255,250,272,206,216,254,275,293,252,255,232,316,99,431,,"7,555",Projection Budget VS Monthly Budget,,,
FS_ELIGIBLE,51,60,65,75,67,68,86,88,98,101,129,90,60,127,111,106,90,94,110,72,74,84,93,95,92,89,70,94,39,131,,"2,609","$17,043","$18,794",,
First Disbursement Personal,59,65,64,79,69,63,123,107,113,93,112,91,68,137,125,108,107,92,105,87,84,102,118,112,97,101,66,104,57,110,,"2,818",,,,
First Disb.FidoBiz New,6,4,9,5,2,1,10,8,6,37,55,1,1,7,6,11,2,3,1,2,2,3,5,2,3,1,1,3,2,4,,203,L0 Target Jan25,,Projection Disb.,L0 vs Target
First Disb. FidoBiz Migrated New,8,11,8,12,1,5,8,4,10,6,17,4,3,8,8,7,14,2,1,0,3,9,2,5,8,1,2,3,5,9,,184,Personal,"2,218","2,818",127.05%
First Disb. FidoBiz Migrated Old,3,1,5,3,0,1,2,2,2,1,3,1,0,2,0,3,1,1,2,1,3,1,2,3,2,0,2,5,1,3,,56,FidoBiz (BL0) - New,150,203,135.33%
First Disbursement All,65,69,73,84,71,64,133,115,119,130,167,92,69,144,131,119,109,95,106,89,86,105,123,114,100,102,67,107,59,114,,"3,021",First Disb. FidoBiz Migrated New,0,184,0.00%
Cost Growth,$420,$462,$484,$483,$483,$490,$574,$502,$559,$544,$496,$481,$452,$469,$465,$459,$468,$456,$456,$448,$432,$458,$503,$458,$461,$439,$446,$469,$438,$469,,"$14,224",First Disb. FidoBiz Migrated Old,0,56,0.00%
Cost Marketing ,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,,"$2,819",,,,
CAC,$7.91,$8.06,$7.92,$6.87,$8.13,$9.12,$5.02,$5.18,$5.48,$4.91,$3.53,$6.25,$7.91,$3.91,$4.27,$4.65,$5.16,$5.79,$5.19,$6.09,$6.12,$5.26,$4.85,$4.84,$5.55,$5.23,$8.06,$5.26,$9.02,$4.94,,$5.64,,,,
CPI,$1.25,$1.21,$1.27,$1.41,$1.28,$1.36,$1.33,$1.12,$1.14,$0.91,$1.02,$1.12,$1.04,$1.02,$1.01,$1.15,$0.97,$1.13,$1.10,$1.28,$1.07,$0.99,$0.99,$1.08,$1.18,$1.12,$0.99,$0.95,$1.01,$1.01,,$1.10,,,,
CPL,$1.23,$1.17,$1.28,$1.17,$1.32,$1.37,$1.34,$1.11,$1.18,$1.00,$0.95,$1.16,$1.67,$0.92,$0.93,$0.97,$1.07,$1.04,$1.03,$1.22,$1.06,$1.02,$1.03,$0.96,$1.11,$1.03,$1.06,$0.94,$0.90,$0.90,,$1.09,,,,
CPKYC,$2.64,$2.46,$2.56,$2.35,$2.81,$3.17,$2.97,$2.38,$2.42,$2.26,$1.84,$2.31,$3.17,$1.82,$1.93,$1.86,$2.20,$2.20,$2.02,$2.63,$2.44,$2.17,$2.17,$1.88,$2.20,$2.09,$2.33,$1.78,$5.37,$1.31,,$2.26,,,,
Installs/SignUp,102%,103%,100%,120%,97%,99%,99%,101%,97%,91%,107%,96%,62%,111%,108%,119%,91%,109%,107%,104%,101%,96%,96%,113%,107%,109%,93%,101%,111%,111%,,102%,,,,
Sign Up/KYC completed,47%,47%,50%,50%,47%,43%,45%,47%,49%,44%,52%,50%,53%,51%,48%,52%,48%,47%,51%,47%,43%,47%,47%,51%,50%,50%,46%,53%,17%,69%,,48%,2417.6,,,
KYC/First Disb.,33%,31%,32%,34%,35%,35%,59%,46%,44%,46%,52%,37%,40%,46%,45%,40%,43%,38%,39%,43%,40%,41%,45%,39%,40%,40%,29%,34%,60%,26%,,40%,,,,
FS/First Disb.,116%,108%,98%,105%,103%,93%,143%,122%,115%,92%,87%,101%,113%,108%,113%,102%,119%,98%,95%,121%,114%,121%,127%,118%,105%,113%,94%,111%,146%,84%,,108%,,,,
New install/ First dis,16%,15%,16%,21%,16%,15%,26%,22%,21%,19%,29%,18%,13%,26%,24%,25%,19%,20%,21%,21%,18%,19%,20%,22%,21%,22%,12%,18%,11%,20%,,20%,,,,
SignUp/First dis.,16%,14%,16%,17%,16%,15%,27%,21%,21%,20%,27%,19%,21%,24%,22%,21%,21%,18%,20%,20%,17%,19%,21%,20%,20%,20%,13%,18%,10%,18%,,19%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NITA Issue,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,
Google,$374,$422,$442,$436,$436,$445,$460,$444,$457,$440,$419,$420,$391,$409,$407,$402,$408,$396,$396,$386,$370,$397,$434,$398,$404,$381,$388,$413,$381,$400,,"$12,356","$81,032",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Facebook,$46,$40,$42,$47,$47,$45,$53,$58,$62,$58,$54,$61,$61,$60,$58,$57,$60,$60,$60,$62,$62,$61,$69,$60,$57,$58,$58,$56,$57,$69,,"$1,698",,,,
Appnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Remarketing SMS,$0,$0,$0,$0,$0,$0,$61,$0,$40,$46,$23,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$170,,,,
Marketing - Brand,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,$94,,"$2,819",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
