3/3/2025,February 1,February 2,February 3,February 4,February 5,February 6,February 7,February 8,February 9,February 10,February 11,February 12,February 13,February 14,February 15,February 16,February 17,February 18,February 19,February 20,February 21,February 22,February 23,February 24,February 25,February 26,February 27,February 28,,TOTAL,,,,,
New Installs,529,634,600,652,857,896,806,866,757,793,806,828,718,677,652,581,620,566,557,491,513,485,482,524,457,516,470,480,,"17,813",,,,,
Sign up,494,576,553,582,706,746,748,715,647,699,709,733,700,630,565,541,600,560,539,510,520,517,496,585,466,530,543,564,,"16,774",,,,,
KYC Completed,210,226,247,239,295,295,318,317,289,320,283,291,301,294,216,229,249,273,260,252,227,226,203,260,219,228,249,245,,"7,261",Projection Budget VS Monthly Budget,,,,
FS_ELIGIBLE,80,75,89,75,105,107,106,116,108,117,102,97,89,93,78,68,81,106,104,82,78,84,66,109,81,77,76,94,,"2,543","$19,826","$19,094",,,
First Disbursement Personal,62,67,80,66,122,98,103,98,101,110,113,110,97,89,72,59,90,101,105,86,65,77,67,95,81,85,80,85,,"2,464",,,,,
First Disb.FidoBiz New,0,1,6,5,4,10,9,1,2,9,4,5,4,4,2,0,6,9,11,7,6,1,0,8,8,3,5,14,,144,L0 Target Jan25,,Projection Disb.,L0 vs Target,
First Disbursement All,62,68,86,71,126,108,112,99,103,119,117,115,101,93,74,59,96,110,116,93,71,78,67,103,89,88,85,99,,"2,608",Personal,"2,218","2,300",111.09%,
Cost Digital,$466,$547,$597,$638,$878,$958,$944,$885,$827,$894,$891,$917,$856,$798,$761,$624,$646,$534,$556,$541,$553,$597,$536,$542,$473,$416,$475,$471,,"$18,819",FidoBiz (BL0) - New,150,134,96.00%,
Cost offline ,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,,"$2,423",,,,,
CAC,$8.91,$9.32,$7.94,$10.20,$7.65,$9.67,$9.20,$9.81,$8.87,$8.24,$8.36,$8.72,$9.33,$9.51,$11.45,$12.04,$7.63,$5.64,$5.54,$6.75,$9.01,$8.76,$9.29,$6.10,$6.28,$5.71,$6.61,$5.63,,$8.15,,,,,
CPI,$1.04,$1.00,$1.14,$1.11,$1.12,$1.17,$1.28,$1.12,$1.21,$1.24,$1.21,$1.21,$1.31,$1.31,$1.30,$1.22,$1.18,$1.10,$1.15,$1.28,$1.25,$1.41,$1.29,$1.20,$1.22,$0.97,$1.20,$1.16,,$1.19,,,,,
CPL,$1.12,$1.10,$1.24,$1.24,$1.37,$1.40,$1.38,$1.36,$1.41,$1.40,$1.38,$1.37,$1.35,$1.40,$1.50,$1.31,$1.22,$1.11,$1.19,$1.23,$1.23,$1.32,$1.26,$1.07,$1.20,$0.95,$1.03,$0.99,,$1.27,,,,,
CPKYC,$2.63,$2.80,$2.77,$3.03,$3.27,$3.54,$3.24,$3.06,$3.16,$3.06,$3.45,$3.45,$3.13,$3.01,$3.92,$3.10,$2.94,$2.27,$2.47,$2.49,$2.82,$3.02,$3.07,$2.42,$2.55,$2.20,$2.26,$2.28,,$2.93,,,,,
Installs/SignUp,93%,91%,92%,89%,82%,83%,93%,83%,85%,88%,88%,89%,97%,93%,87%,93%,97%,99%,97%,104%,101%,107%,103%,112%,102%,103%,116%,118%,,94%,,,,,
Sign Up/KYC completed,43%,39%,45%,41%,42%,40%,43%,44%,45%,46%,40%,40%,43%,47%,38%,42%,42%,49%,48%,49%,44%,44%,41%,44%,47%,43%,46%,43%,,43%,,,,,
KYC/First Disb.,30%,30%,32%,28%,41%,33%,32%,31%,35%,34%,40%,38%,32%,30%,33%,26%,36%,37%,40%,34%,29%,34%,33%,37%,37%,37%,32%,35%,,34%,,,,,
FS/First Disb.,78%,89%,90%,88%,116%,92%,97%,84%,94%,94%,111%,113%,109%,96%,92%,87%,111%,95%,101%,105%,83%,92%,102%,87%,100%,110%,105%,90%,,97%,,,,,
