2/11/2025,January 1,January 2,January 3,January 4,January 5,January 6,January 7,January 8,January 9,January 10,January 11,January 12,January 13,January 14,January 15,January 16,January 17,January 18,January 19,January 20,January 21,January 22,January 23,January 24,January 25,January 26,January 27,January 28,January 29,January 30,January 31,,TOTAL,,,,,
New Installs,704,799,740,801,"1,002",939,"1,001",899,935,902,925,680,668,658,764,760,660,665,668,592,535,612,647,538,548,559,538,567,500,512,546,,"21,864",,,,,
Sign up,499,721,783,841,800,854,952,893,829,818,821,692,683,667,742,716,629,670,636,604,588,580,668,562,516,533,563,555,524,566,497,,"21,002",,,,,
KYC Completed,233,302,342,329,347,398,398,377,368,388,337,315,342,276,330,353,296,304,273,280,271,273,293,236,208,206,263,242,258,178,219,,"9,235",Projection Budget VS Monthly Budget,,,,
FS_ELIGIBLE,93,113,118,120,125,139,151,147,130,146,126,81,147,109,113,135,99,103,112,109,97,114,112,89,71,82,101,107,80,64,96,,"3,429","$17,780","$19,094",,,
First Disbursement Personal,75,104,110,102,109,124,160,135,128,133,119,107,147,110,112,110,103,97,97,110,82,107,105,92,45,61,108,97,70,69,75,,"3,203",,,,,
First Disb.FidoBiz New,0,3,5,0,1,8,5,7,6,8,3,1,7,8,11,6,6,0,1,2,6,10,11,9,0,1,9,7,7,2,5,,155,L0 Target Jan25,,Projection Disb.,L0 vs Target,
First Disbursement All,75,107,115,102,110,132,165,142,134,141,122,108,154,118,123,116,109,97,98,112,88,117,116,101,45,62,117,104,77,71,80,,"3,358",Personal,"2,218","2,422",144.41%,
Cost Digital,$671,$785,$830,$776,$872,$958,$999,$878,$949,$905,$850,$717,$660,$640,$658,$659,$656,$624,$593,$550,$501,$490,$648,$576,$549,$542,$523,$491,$438,$441,$405,,"$20,833",FidoBiz (BL0) - New,150,117,103.33%,
Cost offline ,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,,"$2,683",,,,,
CAC,$10.10,$8.14,$7.97,$8.45,$8.72,$7.91,$6.58,$6.79,$7.72,$7.03,$7.68,$7.44,$4.85,$6.16,$6.05,$6.43,$6.81,$7.32,$6.94,$5.69,$6.67,$4.93,$6.34,$6.56,$14.12,$10.13,$5.21,$5.56,$6.81,$7.43,$6.14,,$7.00,,,,,
CPI,$1.08,$1.09,$1.24,$1.08,$0.96,$1.11,$1.08,$1.07,$1.11,$1.10,$1.01,$1.18,$1.12,$1.10,$0.97,$0.98,$1.13,$1.07,$1.02,$1.08,$1.10,$0.94,$1.14,$1.23,$1.16,$1.12,$1.13,$1.02,$1.05,$1.03,$0.90,,$1.08,,,,,
CPL,$1.52,$1.21,$1.17,$1.03,$1.20,$1.22,$1.14,$1.08,$1.25,$1.21,$1.14,$1.16,$1.09,$1.09,$1.00,$1.04,$1.18,$1.06,$1.07,$1.05,$1.00,$0.99,$1.10,$1.18,$1.23,$1.18,$1.08,$1.04,$1.00,$0.93,$0.99,,$1.12,,,,,
CPKYC,$3.25,$2.88,$2.68,$2.62,$2.76,$2.62,$2.73,$2.56,$2.81,$2.55,$2.78,$2.55,$2.18,$2.63,$2.26,$2.11,$2.51,$2.34,$2.49,$2.27,$2.17,$2.11,$2.51,$2.81,$3.06,$3.05,$2.32,$2.39,$2.03,$2.96,$2.24,,$2.55,,,,,
Installs/SignUp,71%,90%,106%,105%,80%,91%,95%,99%,89%,91%,89%,102%,102%,101%,97%,94%,95%,101%,95%,102%,110%,95%,103%,104%,94%,95%,105%,98%,105%,111%,91%,,96%,,,,,
Sign Up/KYC completed,47%,42%,44%,39%,43%,47%,42%,42%,44%,47%,41%,46%,50%,41%,44%,49%,47%,45%,43%,46%,46%,47%,44%,42%,40%,39%,47%,44%,49%,31%,44%,,44%,,,,,
KYC/First Disb.,32%,34%,32%,31%,31%,31%,40%,36%,35%,34%,35%,34%,43%,40%,34%,31%,35%,32%,36%,39%,30%,39%,36%,39%,22%,30%,41%,40%,27%,39%,34%,,35%,,,,,
FS/First Disb.,81%,92%,93%,85%,87%,89%,106%,92%,98%,91%,94%,132%,100%,101%,99%,81%,104%,94%,87%,101%,85%,94%,94%,103%,63%,74%,107%,91%,88%,108%,78%,,93%,,,,,
New install/ First dis,11%,13%,16%,13%,11%,14%,16%,16%,14%,16%,13%,16%,23%,18%,16%,15%,17%,15%,15%,19%,16%,19%,18%,19%,8%,11%,22%,18%,15%,14%,15%,,15%,,,,,
SignUp/First dis.,15%,15%,15%,12%,14%,15%,17%,16%,16%,17%,15%,16%,23%,18%,17%,16%,17%,14%,15%,19%,15%,20%,17%,18%,9%,12%,21%,19%,15%,13%,16%,,16%,,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0.6632653061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,0.2846153846
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.3243243243
Google,$531,$602,$645,$607,$748,$751,$789,$708,$761,$743,$729,$638,$523,$533,$533,$535,$541,$530,$524,$416,$372,$362,$497,$419,$439,$448,$428,$403,$354,$356,$327,,"$16,791",,"$25,187",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,installs,1000,
Facebook,$117,$138,$141,$124,$124,$140,$126,$124,$123,$100,$75,$79,$76,$69,$64,$65,$68,$71,$69,$66,$68,$68,$106,$107,$110,$94,$95,$88,$84,$85,$78,,"$2,942",,$82,signup,700,
Appnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,KYC,259,
Remarketing SMS,$23,$44,$44,$44,$0,$67,$84,$46,$65,$61,$46,$0,$61,$38,$61,$59,$47,$23,$0,$69,$61,$60,$46,$50,$0,$0,$0,$0,$0,$0,$0,,"$1,100",,,L0,91,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,"$23,516",,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$7.00,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Influencer,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,$87,,"$2,683",,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Referral/unapplied leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,601,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
googleadwords_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnext_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
