8/4/2025,July 1,July 2,July 3,July 4,July 5,July 6,July 7,July 8,July 9,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,,TOTAL,,,,
New Installs,679,745,547,589,524,534,574,574,622,760,692,639,537,566,649,670,661,566,606,611,821,890,754,700,732,650,691,778,633,666,711,,"20,371",,,,
Sign up,665,695,545,594,435,520,549,561,552,659,591,549,519,523,556,619,604,538,516,556,805,838,671,600,663,550,570,732,605,586,650,,"18,616",,,,
KYC Completed,279,324,270,241,188,215,229,183,276,270,256,211,219,232,271,243,271,201,236,222,305,314,270,240,259,198,213,265,236,222,235,,"7,594",Projection Budget VS Monthly Budget,,,
FS_ELIGIBLE,65,72,58,53,50,50,53,35,58,72,61,41,58,64,62,68,69,71,78,73,106,110,95,87,80,50,72,75,81,74,73,,"2,114","$20,141","$22,204",,
First Disbursement Personal,81,129,96,88,56,70,68,57,73,72,76,54,60,66,66,83,85,101,87,89,126,111,91,85,69,55,79,67,59,84,68,,"2,451",,,,
First Disb.FidoBiz New,5,5,5,2,1,1,6,2,6,3,4,3,3,8,8,6,2,7,3,2,11,7,10,9,8,0,1,10,9,5,11,,163,L0 Target May25,,Projection Disb.,L0 vs Target
First Disb. FidoBiz Migrated New,3,1,4,4,1,3,1,2,4,3,11,2,1,5,1,3,8,9,1,1,7,4,4,5,11,0,3,8,8,3,4,,125,Personal,"2,403","2,235",102.00%
First Disb. FidoBiz Migrated Old,9,5,5,2,3,1,6,7,3,4,3,2,0,9,1,0,4,2,4,2,2,5,0,4,3,4,1,6,5,5,2,,109,FidoBiz (BL0) - New,150,149,108.67%
First Disbursement All,86,134,101,90,57,71,74,59,79,75,80,57,63,74,74,89,87,108,90,91,137,118,101,94,77,55,80,77,68,89,79,,"2,614",First Disb. FidoBiz Migrated New,0,114,0.00%
Cost Growth,$490,$542,$404,$505,$462,$472,$474,$526,$561,$582,$647,$633,$599,$572,$668,$683,$597,$583,$600,$635,$806,$868,$693,$654,$650,$585,$604,$737,$625,$619,$671,,"$18,759",First Disb. FidoBiz Migrated Old,0,99,0.00%
Cost Marketing ,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,,"$3,331",,,,
CAC,$6.95,$4.84,$5.07,$6.81,$10.00,$8.16,$7.86,$10.74,$8.47,$9.20,$9.44,$13.00,$11.22,$9.19,$10.49,$8.89,$8.10,$6.40,$7.87,$8.16,$6.67,$8.27,$7.93,$8.11,$9.84,$12.60,$8.90,$10.97,$10.78,$8.17,$9.86,,$8.45,,,,
CPI,$0.88,$0.87,$0.94,$1.04,$1.09,$1.09,$1.01,$1.10,$1.08,$0.91,$1.09,$1.16,$1.32,$1.20,$1.20,$1.18,$1.07,$1.22,$1.17,$1.22,$1.11,$1.10,$1.06,$1.09,$1.04,$1.07,$1.03,$1.09,$1.16,$1.09,$1.10,,$1.08,,,,
