4/2/2025,March 1,March 2,March 3,March 4,March 5,March 6,March 7,March 8,March 9,March 10,March 11,March 12,March 13,March 14,March 15,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,,TOTAL,,,,,
New Installs,465,516,735,613,616,660,590,552,558,663,626,646,705,572,628,495,478,394,403,448,416,372,376,402,403,365,402,419,406,375,429,569,"16,297",666,,,,
Sign up,447,475,660,650,602,633,599,568,596,651,651,628,675,571,592,567,520,473,463,461,448,441,414,437,447,404,420,423,392,358,446,,"16,112",,,,,
KYC Completed,205,203,263,257,261,325,295,257,233,301,308,339,333,275,299,247,252,262,232,220,236,228,204,214,218,200,210,194,177,166,215,,"7,629",Projection Budget VS Monthly Budget,,,,
FS_ELIGIBLE,69,53,87,78,88,93,95,80,71,106,90,82,97,98,89,78,72,82,78,78,78,80,74,84,72,78,72,57,58,54,44,,"2,415","$19,114","$19,094",,,
First Disbursement Personal,66,47,77,77,92,88,89,68,68,89,107,98,105,100,90,79,92,87,87,84,77,84,77,75,77,70,79,56,73,58,58,,"2,474",,,,,
First Disb.FidoBiz New,2,1,5,2,1,4,6,4,2,5,6,11,10,10,2,3,10,12,5,10,10,3,4,3,7,4,3,1,1,2,8,,157,L0 Target Jan25,,Projection Disb.,L0 vs Target,
First Disbursement All,68,48,82,79,93,92,95,72,70,94,113,109,115,110,92,82,102,99,92,94,87,87,81,78,84,74,82,57,74,60,66,,"2,631",Personal,"2,218","2,397",111.54%,
Cost Digital,$448,$483,$729,$658,$670,$706,$732,$551,$576,$789,$745,$769,$846,$697,$748,$616,$546,$378,$374,$378,$386,$369,$361,$355,$383,$375,$335,$365,$321,$362,$380,,"$16,431",FidoBiz (BL0) - New,150,152,104.67%,
Cost offline ,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,$106,,"$3,300",,,,,
CAC,$8.15,$12.28,$10.19,$9.68,$8.35,$8.83,$8.82,$9.13,$9.75,$9.53,$7.54,$8.03,$8.29,$7.30,$9.29,$8.81,$6.39,$4.89,$5.22,$5.15,$5.66,$5.46,$5.77,$5.92,$5.83,$6.51,$5.38,$8.27,$5.78,$7.81,$7.37,,$7.50,,,,,
CPI,$1.19,$1.14,$1.14,$1.25,$1.26,$1.23,$1.42,$1.19,$1.22,$1.35,$1.36,$1.35,$1.35,$1.40,$1.36,$1.46,$1.36,$1.23,$1.19,$1.08,$1.18,$1.28,$1.24,$1.15,$1.21,$1.32,$1.10,$1.13,$1.05,$1.25,$1.13,,$1.21,0.3165552497,,,,
CPL,$1.24,$1.24,$1.27,$1.18,$1.29,$1.28,$1.40,$1.16,$1.15,$1.38,$1.31,$1.39,$1.41,$1.41,$1.44,$1.27,$1.25,$1.02,$1.04,$1.05,$1.10,$1.08,$1.13,$1.06,$1.09,$1.19,$1.05,$1.11,$1.09,$1.31,$1.09,,$1.22,3220,,,,
CPKYC,$2.70,$2.90,$3.18,$2.97,$2.98,$2.50,$2.84,$2.56,$2.93,$2.98,$2.77,$2.58,$2.86,$2.92,$2.86,$2.92,$2.59,$1.85,$2.07,$2.20,$2.09,$2.09,$2.29,$2.16,$2.25,$2.41,$2.10,$2.43,$2.41,$2.82,$2.26,,$2.59,$0.32,,,,
Installs/SignUp,96%,92%,90%,106%,98%,96%,102%,103%,107%,98%,104%,97%,96%,100%,94%,115%,109%,120%,115%,103%,108%,119%,110%,109%,111%,111%,104%,101%,97%,95%,104%,,99%,,,,,
Sign Up/KYC completed,46%,43%,40%,40%,43%,51%,49%,45%,39%,46%,47%,54%,49%,48%,51%,44%,48%,55%,50%,48%,53%,52%,49%,49%,49%,50%,50%,46%,45%,46%,48%,,47%,,,,,
KYC/First Disb.,32%,23%,29%,30%,35%,27%,30%,26%,29%,30%,35%,29%,32%,36%,30%,32%,37%,33%,38%,38%,33%,37%,38%,35%,35%,35%,38%,29%,41%,35%,27%,,32%,,,,,
FS/First Disb.,96%,89%,89%,99%,105%,95%,94%,85%,96%,84%,119%,120%,108%,102%,101%,101%,128%,106%,112%,108%,99%,105%,104%,89%,107%,90%,110%,98%,126%,107%,132%,,102%,,,,,
New install/ First dis,15%,9%,11%,13%,15%,14%,16%,13%,13%,14%,18%,17%,16%,19%,15%,17%,21%,25%,23%,21%,21%,23%,22%,19%,21%,20%,20%,14%,18%,16%,15%,,16%,,,,,
SignUp/First dis.,15%,10%,12%,12%,15%,15%,16%,13%,12%,14%,17%,17%,17%,19%,16%,14%,20%,21%,20%,20%,19%,20%,20%,18%,19%,18%,20%,13%,19%,17%,15%,,16%,,,,,
Issues,,,Reduce CG from 19% to 12% - less L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0.6632653061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,0.2846153846
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.3243243243
Google,$371,$413,$609,$583,$524,$521,$542,$480,$489,$556,$559,$601,$668,$595,$627,$511,$410,$318,$320,$336,$344,$324,$316,$311,$339,$331,$293,$320,$275,$319,$324,,"$13,529",,"$20,294",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,installs,1000,
Facebook,$77,$70,$74,$75,$72,$77,$75,$71,$87,$92,$87,$98,$102,$102,$121,$105,$90,$60,$54,$42,$42,$45,$45,$44,$44,$44,$42,$45,$46,$43,$56,,"$2,127",,$59,signup,700,
Appnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,KYC,259,
Remarketing SMS,$0,$0,$46,$0,$74,$108,$115,$0,$0,$141,$99,$70,$76,$0,$0,$0,$46,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$775,,,L0,91,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,"$18,831",,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$7.16,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Influencer,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,$77,,"$2,400",,,,,
Video Production,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,,$500,,,,,
Social media awarness ,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,,$400,,,,,
Referral/unapplied leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,601,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
googleadwords_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnext_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
