report_day,new_installs,sign_up,kyc_completed,fs_eligible,first_disbursement_all,cost_digital,cost_offline_,cac,cac_incl_branding,cpi,cpl,cpkyc,installssignup,sign_upkyc_completed,kycfirst_disb,fsfirst_disb,new_install_first_dis,signupfirst_dis,first_disbursement_personal,first_disbursement_fidobiz,first_disbfidobiz_new,first_disb_fidobiz_migrated_old,first_disb_fidobiz_migrated_new
2025-04-01,410,419,195,51,65,$420,$94,$7.91,,$1.25,$1.23,$2.64,102%,47%,33%,,16%,16%,59,836,6,3,8
2025-04-02,461,476,226,60,69,$462,$94,$8.06,,$1.21,$1.17,$2.46,103%,47%,31%,,15%,14%,65,1114,4,1,11
2025-04-03,454,453,226,65,73,$484,$94,$7.92,,$1.27,$1.28,$2.56,100%,50%,32%,,16%,16%,64,859,9,5,8
2025-04-04,409,492,246,75,84,$483,$94,$6.87,,$1.41,$1.17,$2.35,120%,50%,34%,,21%,17%,79,1235,5,3,12
2025-04-05,451,436,205,67,71,$483,$94,$8.13,,$1.28,$1.32,$2.81,97%,47%,35%,,16%,16%,69,102,2,0,1
2025-04-06,428,425,184,68,64,$490,$94,$9.12,,$1.36,$1.37,$3.17,99%,43%,35%,,15%,15%,63,511,1,1,5
2025-04-07,502,498,225,86,133,$574,$94,$5.02,,$1.33,$1.34,$2.97,99%,45%,59%,,26%,27%,123,8210,10,2,8
2025-04-08,532,537,250,88,115,$502,$94,$5.18,,$1.12,$1.11,$2.38,101%,47%,46%,,22%,21%,107,428,8,2,4
2025-04-09,572,554,270,98,119,$559,$94,$5.48,,$1.14,$1.18,$2.42,97%,49%,44%,,21%,21%,113,1026,6,2,10
2025-04-10,698,637,282,101,130,$544,$94,$4.91,,$0.91,$1.00,$2.26,91%,44%,46%,,19%,20%,93,6137,37,1,6
2025-04-11,579,622,321,129,167,$496,$94,$3.53,,$1.02,$0.95,$1.84,107%,52%,52%,,29%,27%,112,17355,55,3,17
2025-04-12,513,494,249,90,92,$481,$94,$6.25,,$1.12,$1.16,$2.31,96%,50%,37%,,18%,19%,91,411,1,1,4
2025-04-13,523,326,172,60,69,$452,$94,$7.91,,$1.04,$1.67,$3.17,62%,53%,40%,,13%,21%,68,301,1,0,3
2025-04-14,553,612,310,127,144,$469,$94,$3.91,,$1.02,$0.92,$1.82,111%,51%,46%,,26%,24%,137,827,7,2,8
2025-04-15,554,599,290,111,131,$465,$94,$4.27,,$1.01,$0.93,$1.93,108%,48%,45%,,24%,22%,125,806,6,0,8
2025-04-16,481,571,298,106,119,$459,$94,$4.65,,$1.15,$0.97,$1.86,119%,52%,40%,,25%,21%,108,7311,11,3,7
2025-04-17,578,526,255,90,109,$468,$94,$5.16,,$0.97,$1.07,$2.20,91%,48%,43%,,19%,21%,107,1412,2,1,14
2025-04-18,487,529,250,94,95,$456,$94,$5.79,,$1.13,$1.04,$2.20,109%,47%,38%,,20%,18%,92,213,3,1,2
2025-04-19,500,533,272,110,106,$456,$94,$5.19,,$1.10,$1.03,$2.02,107%,51%,39%,,21%,20%,105,121,1,2,1
2025-04-20,424,443,206,72,89,$448,$94,$6.09,,$1.28,$1.22,$2.63,104%,47%,43%,,21%,20%,87,012,2,1,0
2025-04-21,491,498,216,74,86,$432,$94,$6.12,,$1.07,$1.06,$2.44,101%,43%,40%,,18%,17%,84,332,2,3,3
2025-04-22,560,540,254,84,105,$458,$94,$5.26,,$0.99,$1.02,$2.17,96%,47%,41%,,19%,19%,102,913,3,1,9
2025-04-23,601,579,275,93,123,$503,$94,$4.85,,$0.99,$1.03,$2.17,96%,47%,45%,,20%,21%,118,225,5,2,2
2025-04-24,510,574,293,95,114,$458,$94,$4.84,,$1.08,$0.96,$1.88,113%,51%,39%,,22%,20%,112,532,2,3,5
2025-04-25,470,502,252,92,100,$461,$94,$5.55,,$1.18,$1.11,$2.20,107%,50%,40%,,21%,20%,97,823,3,2,8
2025-04-26,474,515,255,89,102,$439,$94,$5.23,,$1.12,$1.03,$2.09,109%,50%,40%,,22%,20%,101,101,1,0,1
2025-04-27,545,509,232,70,67,$446,$94,$8.06,,$0.99,$1.06,$2.33,93%,46%,29%,,12%,13%,66,221,1,2,2
2025-04-28,590,596,316,94,107,$469,$94,$5.26,,$0.95,$0.94,$1.78,101%,53%,34%,,18%,18%,104,353,3,5,3
2025-04-29,529,588,99,39,59,$438,$94,$9.02,,$1.01,$0.90,$5.37,111%,17%,60%,,11%,10%,57,512,2,1,5
2025-04-30,559,623,431,131,114,$469,$94,$4.94,,$1.01,$0.90,$1.31,111%,69%,26%,,20%,18%,110,934,4,3,9
